Question,Answer
What are the notes in a C-major chord?,C4 E4 G4
Which chord consists of the notes C4 E4 G4?,C-major
Is the note C4 part of the C-major chord?,Yes
How many notes are in the C-major chord?,3
What are the notes in a D-minor chord?,D4 F4 A4
Which chord consists of the notes D4 F4 A4?,D-minor
Is the note D4 part of the D-minor chord?,Yes
How many notes are in the D-minor chord?,3
What are the notes in a E-minor chord?,E4 G4 B4
Which chord consists of the notes E4 G4 B4?,E-minor
Is the note E4 part of the E-minor chord?,Yes
How many notes are in the E-minor chord?,3
What are the notes in a F-major chord?,F4 A4 C4
Which chord consists of the notes F4 A4 C4?,F-major
Is the note F4 part of the F-major chord?,Yes
How many notes are in the F-major chord?,3
What are the notes in a G-major chord?,G4 B4 D4
Which chord consists of the notes G4 B4 D4?,G-major
Is the note G4 part of the G-major chord?,Yes
How many notes are in the G-major chord?,3
What are the notes in a A-minor chord?,A4 C4 E4
Which chord consists of the notes A4 C4 E4?,A-minor
Is the note A4 part of the A-minor chord?,Yes
How many notes are in the A-minor chord?,3
What are the notes in a B-diminished chord?,B4 D4 F4
Which chord consists of the notes B4 D4 F4?,B-diminished
Is the note B4 part of the B-diminished chord?,Yes
How many notes are in the B-diminished chord?,3
What are the notes in a C-major seventh chord?,C4 E4 G4 B4
Which chord consists of the notes C4 E4 G4 B4?,C-major seventh
Is the note C4 part of the C-major seventh chord?,Yes
How many notes are in the C-major seventh chord?,4
What are the notes in a C-major-ninth chord?,C4 E4 G4 B4 D4
Which chord consists of the notes C4 E4 G4 B4 D4?,C-major-ninth
Is the note C4 part of the C-major-ninth chord?,Yes
How many notes are in the C-major-ninth chord?,5
What are the notes in a D-minor seventh chord?,D4 F4 A4 C4
Which chord consists of the notes D4 F4 A4 C4?,D-minor seventh
Is the note D4 part of the D-minor seventh chord?,Yes
How many notes are in the D-minor seventh chord?,4
What are the notes in a D-minor-ninth chord?,D4 F4 A4 C4 E4
Which chord consists of the notes D4 F4 A4 C4 E4?,D-minor-ninth
Is the note D4 part of the D-minor-ninth chord?,Yes
How many notes are in the D-minor-ninth chord?,5
What are the notes in a E-minor seventh chord?,E4 G4 B4 D4
Which chord consists of the notes E4 G4 B4 D4?,E-minor seventh
Is the note E4 part of the E-minor seventh chord?,Yes
How many notes are in the E-minor seventh chord?,4
What are the notes in a E-minor-ninth chord?,E4 G4 B4 D4 F#4
Which chord consists of the notes E4 G4 B4 D4 F#4?,E-minor-ninth
Is the note E4 part of the E-minor-ninth chord?,Yes
How many notes are in the E-minor-ninth chord?,5
What are the notes in a F-major seventh chord?,F4 A4 C4 E4
Which chord consists of the notes F4 A4 C4 E4?,F-major seventh
Is the note F4 part of the F-major seventh chord?,Yes
How many notes are in the F-major seventh chord?,4
What are the notes in a F-major-ninth chord?,F4 A4 C4 E4 G4
Which chord consists of the notes F4 A4 C4 E4 G4?,F-major-ninth
Is the note F4 part of the F-major-ninth chord?,Yes
How many notes are in the F-major-ninth chord?,5
What are the notes in a G-dominant seventh chord?,G4 B4 D4 F4
Which chord consists of the notes G4 B4 D4 F4?,G-dominant seventh
Is the note G4 part of the G-dominant seventh chord?,Yes
How many notes are in the G-dominant seventh chord?,4
What are the notes in a G-dominant-ninth chord?,G4 B4 D4 F4 A4
Which chord consists of the notes G4 B4 D4 F4 A4?,G-dominant-ninth
Is the note G4 part of the G-dominant-ninth chord?,Yes
How many notes are in the G-dominant-ninth chord?,5
What are the notes in a A-minor seventh chord?,A4 C4 E4 G4
Which chord consists of the notes A4 C4 E4 G4?,A-minor seventh
Is the note A4 part of the A-minor seventh chord?,Yes
How many notes are in the A-minor seventh chord?,4
What are the notes in a A-minor-ninth chord?,A4 C4 E4 G4 B4
Which chord consists of the notes A4 C4 E4 G4 B4?,A-minor-ninth
Is the note A4 part of the A-minor-ninth chord?,Yes
How many notes are in the A-minor-ninth chord?,5
What are the notes in a B-half-diminished seventh chord?,B4 D4 F4 A4
Which chord consists of the notes B4 D4 F4 A4?,B-half-diminished seventh
Is the note B4 part of the B-half-diminished seventh chord?,Yes
How many notes are in the B-half-diminished seventh chord?,4
What are the notes in a B-diminished-major ninth chord?,B4 D4 F4 A4 C4
Which chord consists of the notes B4 D4 F4 A4 C4?,B-diminished-major ninth
Is the note B4 part of the B-diminished-major ninth chord?,Yes
How many notes are in the B-diminished-major ninth chord?,5
What are the notes in a C-major-second major tetrachord chord?,C4 E4 G4 D4
Which chord consists of the notes C4 E4 G4 D4?,C-major-second major tetrachord
Is the note C4 part of the C-major-second major tetrachord chord?,Yes
How many notes are in the C-major-second major tetrachord chord?,4
Which chord consists of the notes C4 E4 G4 A4?,A-minor seventh
Is the note C4 part of the A-minor seventh chord?,Yes
What are the notes in a A-major pentatonic chord?,C4 E4 G4 A4 D4
Which chord consists of the notes C4 E4 G4 A4 D4?,A-major pentatonic
Is the note C4 part of the A-major pentatonic chord?,Yes
How many notes are in the A-major pentatonic chord?,5
